epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02264,0.93452,2.38083,1.35759,0.00467,1,0.6643,0.39633,1.0124,2.9236,1.59138,0.000533333,0.000533333,0.000533333
2,12.7688,1.07303,1.60051,1.31049,0.35121,0.1939,0.31153,0.11156,1.30624,2.96843,1.88073,0.00117624,0.00117624,0.00117624
3,18.3859,1.29221,2.1374,1.57338,0.25438,0.0862,0.30185,0.12939,1.31493,3.0754,2.05244,0.00179275,0.00179275,0.00179275
4,24.0101,1.2412,1.8032,1.45974,0.54828,0.32143,0.38832,0.19616,1.73245,2.69164,3.44385,0.0018812,0.0018812,0.0018812
5,29.6561,1.18498,1.73627,1.46367,0.338,0.47429,0.29663,0.13861,1.65004,5.17229,2.93177,0.0018416,0.0018416,0.0018416
6,35.2234,1.08341,1.57726,1.40394,0.29953,0.5,0.30204,0.12669,1.68602,5.35777,3.02362,0.001802,0.001802,0.001802
7,40.8105,1.08488,1.56482,1.43506,0.30518,0.32143,0.18911,0.07819,1.89794,5.49869,3.15299,0.0017624,0.0017624,0.0017624
8,46.4004,1.129,1.4818,1.43666,0.28424,0.39286,0.26572,0.12358,1.65661,6.34739,2.57142,0.0017228,0.0017228,0.0017228
9,51.9645,1.13649,1.48706,1.47339,0.22284,0.75,0.45288,0.19191,1.65898,14.5814,2.90377,0.0016832,0.0016832,0.0016832
10,57.5682,1.05854,1.4321,1.37593,0.07101,0.39286,0.07697,0.02714,1.77715,16.1024,2.75269,0.0016436,0.0016436,0.0016436
11,63.1371,1.04842,1.33585,1.32366,0.09973,0.57143,0.15943,0.05356,1.66185,16.0258,2.61609,0.001604,0.001604,0.001604
12,68.6903,1.06239,1.33372,1.35414,0.27702,0.42857,0.32009,0.16709,1.52518,6.61031,2.45401,0.0015644,0.0015644,0.0015644
13,74.2733,1.01608,1.34259,1.32918,0.1063,0.39286,0.09982,0.03606,1.95261,9.25642,3.02898,0.0015248,0.0015248,0.0015248
14,79.823,1.07122,1.37521,1.42048,0.23473,0.75,0.34303,0.14003,1.73523,6.91605,2.75881,0.0014852,0.0014852,0.0014852
15,85.3762,1.08545,1.3083,1.3653,0.25225,0.34955,0.28047,0.12676,1.61182,5.67301,2.44134,0.0014456,0.0014456,0.0014456
16,91.0936,1.01757,1.26184,1.33702,0.37005,0.28571,0.30389,0.1369,1.70429,5.00266,2.73437,0.001406,0.001406,0.001406
17,96.7271,1.03447,1.26712,1.32419,0.56879,0.64286,0.51986,0.28613,1.49381,3.13798,2.30902,0.0013664,0.0013664,0.0013664
18,102.5,0.978,1.22865,1.28984,0.56659,0.60714,0.61291,0.32115,1.43028,2.55184,2.21446,0.0013268,0.0013268,0.0013268
19,108.204,1.03626,1.22866,1.34782,0.64254,0.57797,0.6518,0.32468,1.38731,2.46388,2.0585,0.0012872,0.0012872,0.0012872
20,113.816,0.92205,1.11624,1.22669,0.66452,0.53571,0.58925,0.25698,1.50692,2.35836,2.14278,0.0012476,0.0012476,0.0012476
21,119.429,0.98287,1.13122,1.2834,0.56889,0.57143,0.54276,0.25063,1.47814,2.32791,2.03507,0.001208,0.001208,0.001208
22,125.095,0.99607,1.15946,1.29818,0.45896,0.75,0.54969,0.28185,1.43923,2.1479,1.89218,0.0011684,0.0011684,0.0011684
23,130.672,1.00765,1.19776,1.36659,0.52843,0.75,0.62372,0.34197,1.39743,2.08616,1.93651,0.0011288,0.0011288,0.0011288
24,136.186,0.94812,1.11337,1.26196,0.51142,0.67857,0.55884,0.30071,1.38868,2.06198,1.93263,0.0010892,0.0010892,0.0010892
25,141.762,0.88913,1.10312,1.24509,0.49086,0.64286,0.47851,0.23599,1.41916,2.30087,2.04523,0.0010496,0.0010496,0.0010496
26,147.333,0.9309,1.11337,1.26848,0.46722,0.67857,0.48198,0.23564,1.54124,2.23456,2.16475,0.00101,0.00101,0.00101
27,152.907,0.86053,1.0533,1.24697,0.52001,0.67857,0.4813,0.24961,1.45589,2.18748,2.0495,0.0009704,0.0009704,0.0009704
28,158.483,0.90008,1.01633,1.23832,0.50635,0.71429,0.49192,0.26441,1.38633,2.17261,1.93905,0.0009308,0.0009308,0.0009308
29,164.065,0.83785,0.99213,1.20232,0.54328,0.60714,0.54439,0.31726,1.41436,2.04653,2.03345,0.0008912,0.0008912,0.0008912
30,169.619,0.89926,1.04694,1.28744,0.61091,0.64286,0.57934,0.34201,1.33203,2.05316,1.94977,0.0008516,0.0008516,0.0008516
31,175.164,0.90125,1.02839,1.26096,0.58415,0.65241,0.53446,0.33866,1.32083,2.15719,1.9636,0.000812,0.000812,0.000812
32,180.712,0.84069,0.91685,1.16011,0.62642,0.64286,0.5542,0.32487,1.34808,2.19602,2.00389,0.0007724,0.0007724,0.0007724
33,186.274,0.86115,0.9568,1.21204,0.51233,0.71429,0.54896,0.28912,1.36425,2.13001,1.9577,0.0007328,0.0007328,0.0007328
34,191.828,0.83963,0.9748,1.19977,0.57802,0.64286,0.54402,0.29332,1.30971,2.06165,1.89148,0.0006932,0.0006932,0.0006932
