epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4466,0.85624,4.41455,0.0148,0.00433,0.92857,0.29443,0.21041,0.69225,8.9061,0.01538,0.000533333,0.000533333,0.000533333
2,43.8346,0.91963,3.95481,0.0129,0.00467,1,0.22557,0.10537,1.03197,9.17174,0.02477,0.00117624,0.00117624,0.00117624
3,62.7359,1.0522,4.15078,0.0178,0.0045,0.96429,0.22597,0.15916,0.80512,8.85717,0.01942,0.00179275,0.00179275,0.00179275
4,82.1428,1.08671,3.66652,0.01664,0.0045,0.96429,0.22569,0.14668,0.89148,8.86824,0.02105,0.0018812,0.0018812,0.0018812
5,100.81,1.11504,3.86694,0.0194,0.00433,0.92857,0.2584,0.17849,0.97485,8.82639,0.02489,0.0018416,0.0018416,0.0018416
6,119.274,0.99635,3.47924,0.01612,0.0045,0.96429,0.25544,0.18199,1.08108,8.89788,0.0264,0.001802,0.001802,0.001802
7,138.164,0.98811,3.51988,0.01564,0.00433,0.92857,0.32335,0.18079,1.1232,8.89168,0.02805,0.0017624,0.0017624,0.0017624
8,157.134,1.07237,3.23386,0.01773,0.0045,0.96429,0.45287,0.25443,0.98373,8.6324,0.02383,0.0017228,0.0017228,0.0017228
9,174.722,1.00884,3.20955,0.01629,0.0045,0.96429,0.34197,0.19429,1.08035,8.63484,0.0277,0.0016832,0.0016832,0.0016832
10,192.726,1.08603,3.00477,0.01848,0.21323,0.64286,0.33947,0.20808,1.15937,8.46113,0.02982,0.0016436,0.0016436,0.0016436
11,210.882,0.96223,2.5976,0.0142,0.49724,0.28276,0.35944,0.22799,1.12602,8.32247,0.02887,0.001604,0.001604,0.001604
12,229.131,1.06418,2.72801,0.01611,0.50578,0.28571,0.3787,0.25208,1.0994,8.10073,0.02857,0.0015644,0.0015644,0.0015644
13,247.433,1.00766,2.6279,0.01606,0.57168,0.32143,0.45863,0.29663,1.14955,7.69184,0.02966,0.0015248,0.0015248,0.0015248
14,265.135,1.06664,2.68459,0.01741,0.52176,0.32143,0.43271,0.28685,1.14082,7.42963,0.0296,0.0014852,0.0014852,0.0014852
15,283.495,1.08814,2.40179,0.01683,0.49623,0.42857,0.45319,0.29845,1.15969,7.15056,0.03065,0.0014456,0.0014456,0.0014456
16,301.608,1.03157,2.41818,0.01745,0.56626,0.46635,0.48234,0.31065,1.17766,6.75298,0.03043,0.001406,0.001406,0.001406
17,318.96,1.11347,2.39255,0.01794,0.49127,0.42857,0.43938,0.31324,1.07444,6.25365,0.02733,0.0013664,0.0013664,0.0013664
18,335.478,1.02731,2.27454,0.01727,0.47817,0.49112,0.46267,0.34117,0.99688,6.02212,0.02492,0.0013268,0.0013268,0.0013268
19,352.662,1.01285,2.29316,0.01659,0.32615,0.46679,0.43621,0.30487,0.99499,5.87524,0.02439,0.0012872,0.0012872,0.0012872
20,369.604,0.93112,1.96446,0.01365,0.50923,0.55616,0.4852,0.32374,1.06803,5.69379,0.0264,0.0012476,0.0012476,0.0012476
21,386.364,0.99148,2.07557,0.01529,0.4679,0.57143,0.48583,0.3399,1.17689,5.34852,0.03011,0.001208,0.001208,0.001208
22,403.155,0.99325,2.04776,0.01651,0.50547,0.58432,0.51521,0.35445,1.22664,5.27207,0.03257,0.0011684,0.0011684,0.0011684
23,420.19,1.10137,2.30519,0.01963,0.5334,0.46429,0.54664,0.37445,1.2172,5.09736,0.03246,0.0011288,0.0011288,0.0011288
24,436.981,1.00794,1.97809,0.0159,0.5152,0.56937,0.52816,0.33994,1.16299,5.0482,0.03005,0.0010892,0.0010892,0.0010892
25,473.294,0.95465,2.04068,0.0159,0.52052,0.60714,0.49823,0.32835,1.16967,4.85748,0.03023,0.0010496,0.0010496,0.0010496
26,491.945,0.96187,1.91031,0.01476,0.5195,0.53571,0.50558,0.32082,1.30273,4.79239,0.0373,0.00101,0.00101,0.00101
27,513.675,0.93278,1.86432,0.01621,0.58549,0.53571,0.55224,0.33113,1.30845,4.6745,0.03837,0.0009704,0.0009704,0.0009704
28,533.423,0.90386,1.69137,0.01377,0.62453,0.46429,0.53429,0.31447,1.29978,4.60423,0.03613,0.0009308,0.0009308,0.0009308
29,553.625,0.88259,1.72253,0.01431,0.66742,0.39286,0.48575,0.29935,1.23575,4.4198,0.02935,0.0008912,0.0008912,0.0008912
30,573.645,0.98266,1.85383,0.01711,0.76654,0.35215,0.47492,0.29846,1.1484,4.29296,0.02594,0.0008516,0.0008516,0.0008516
31,594.066,0.90012,1.8341,0.01515,0.58528,0.46429,0.51974,0.34118,1.10565,4.1649,0.02448,0.000812,0.000812,0.000812
32,613.713,0.83596,1.63025,0.01323,0.52573,0.57143,0.50866,0.33913,1.09569,4.13443,0.02497,0.0007724,0.0007724,0.0007724
33,631.693,0.91222,1.67128,0.0143,0.53061,0.57143,0.52271,0.33093,1.2451,3.94819,0.02938,0.0007328,0.0007328,0.0007328
34,650.935,0.84783,1.60356,0.01423,0.5116,0.59877,0.53227,0.33744,1.20597,3.90638,0.02792,0.0006932,0.0006932,0.0006932
35,670.037,0.8839,1.60071,0.01291,0.5371,0.58037,0.55289,0.34726,1.23053,3.84157,0.02966,0.0006536,0.0006536,0.0006536
36,689.028,0.90324,1.53009,0.01488,0.61812,0.53571,0.55714,0.34985,1.21375,3.83071,0.0296,0.000614,0.000614,0.000614
37,708.087,0.8183,1.50527,0.01241,0.54082,0.67857,0.52487,0.32655,1.15348,3.82961,0.02676,0.0005744,0.0005744,0.0005744
38,726.524,0.81984,1.41415,0.01229,0.54035,0.60714,0.53108,0.31553,1.1572,3.83231,0.02665,0.0005348,0.0005348,0.0005348
39,745.366,0.8133,1.45893,0.01249,0.50929,0.64286,0.52105,0.31337,1.15003,3.80632,0.02652,0.0004952,0.0004952,0.0004952
40,764.596,0.81255,1.52515,0.01429,0.55477,0.57143,0.52745,0.32286,1.16078,3.72758,0.02697,0.0004556,0.0004556,0.0004556
41,798.854,0.90368,2.51114,0.02056,0.57603,0.57143,0.54948,0.36339,1.12174,3.62354,0.02655,0.000416,0.000416,0.000416
42,817.606,0.82275,2.29785,0.01802,0.52578,0.57143,0.54743,0.37304,1.10106,3.56302,0.02642,0.0003764,0.0003764,0.0003764
43,836.358,0.76844,2.15551,0.01482,0.52224,0.57143,0.55492,0.38099,1.18287,3.5147,0.02909,0.0003368,0.0003368,0.0003368
44,854.754,0.78314,2.14899,0.01607,0.51293,0.57143,0.56487,0.38288,1.24896,3.52228,0.03177,0.0002972,0.0002972,0.0002972
45,873.355,0.7585,2.05953,0.01572,0.63249,0.492,0.53603,0.36789,1.25475,3.53688,0.0322,0.0002576,0.0002576,0.0002576
46,891.476,0.72633,2.1354,0.01526,0.6872,0.5,0.5458,0.38464,1.21605,3.52623,0.03059,0.000218,0.000218,0.000218
47,909.895,0.76295,2.04385,0.01519,0.63272,0.57143,0.56692,0.38685,1.2253,3.478,0.03047,0.0001784,0.0001784,0.0001784
48,928.477,0.72455,1.98551,0.01563,0.65858,0.5515,0.60452,0.40743,1.21785,3.45196,0.02975,0.0001388,0.0001388,0.0001388
49,946.99,0.69402,2.04499,0.01471,0.72691,0.57043,0.62605,0.42543,1.18972,3.41808,0.02822,9.92e-05,9.92e-05,9.92e-05
50,965.145,0.68406,1.92187,0.01441,0.70483,0.53571,0.63601,0.42321,1.19258,3.39534,0.02799,5.96e-05,5.96e-05,5.96e-05
